3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",6,16,Guatemalan,1,1.1,2
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",31,39,approves,0,1,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",31,51,approves impeachment,1,0,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",40,51,impeachment,10,10,20
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",100,113,Supreme Court,1,0,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",127,135,attorney,1,1,2
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",127,143,attorney general,1,1,2
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",127,144,attorney generals,1,1,2
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",157,164,impeach,7,3,10
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",175,185,Otto Pérez,0,1,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-1 Guatemalan Supreme Court approves impeachment of President Molina Yesterday in Guatemala, the Supreme Court approved the attorney general's request to impeach President Otto Pérez Molina.",180,185,Pérez,1,0,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-2 President Molina, pictured here in 2013, is accused of corruption.",24,32,pictured,0,2,2
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-2 President Molina, pictured here in 2013, is accused of corruption.",50,57,accused,3,3,6
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-2 President Molina, pictured here in 2013, is accused of corruption.",50,71,accused of corruption,0,1,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,"#37-2 President Molina, pictured here in 2013, is accused of corruption.",61,71,corruption,8,4,12
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-3 The final decision on lifting Presidential immunity now falls to Congress.,16,24,decision,1,0,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-3 The final decision on lifting Presidential immunity now falls to Congress.,28,35,lifting,0,1,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-3 The final decision on lifting Presidential immunity now falls to Congress.,28,57,lifting Presidential immunity,0,1,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-3 The final decision on lifting Presidential immunity now falls to Congress.,49,57,immunity,10,8,18
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-3 The final decision on lifting Presidential immunity now falls to Congress.,62,67,falls,0,1,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,28,38,corruption,4,1,5
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,28,46,corruption scandal,1,0,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,39,46,scandal,1,6,7
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,64,76,La Linea((en,0,1,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,109,124,Roxana Baldetti,0,1,1
3QREJ3J433YH30CYS49AQ6MZ3G0LKZ,#37-4 The case relates to a corruption scandal known locally as La Linea((en)) which has seen Vice President Roxana Baldetti arrested and charged with fraud and receiving bribes.,116,124,Baldetti,1,0,1
